知识点名字,描述,是否可用（1:可用；0:不可用）,父知识点名字
运动的描述,高一物理，人教版必修一,1,
质点、参考系和坐标系,高一物理，人教版必修一,1,运动的描述
时间和位移,高一物理，人教版必修一,1,运动的描述
运动快慢的描述--速度,高一物理，人教版必修一,1,运动的描述
实验：用打点计时器测速度,高一物理，人教版必修一,1,运动的描述
速度变化快慢的描述--加速度,高一物理，人教版必修一,1,运动的描述
匀变速直线运动的研究,高一物理，人教版必修一,1,
伽利略对自由落体运动的研究,高一物理，人教版必修一,1,匀变速直线运动的研究
自由落体运动,高一物理，人教版必修一,1,匀变速直线运动的研究
匀变速直线运动的速度与位移的关系,高一物理，人教版必修一,1,匀变速直线运动的研究
匀变速直线运动的位移与时间的关系,高一物理，人教版必修一,1,匀变速直线运动的研究
实验：探究小车速度随时间变化的规律,高一物理，人教版必修一,1,匀变速直线运动的研究
匀变速直线运动的速度与时间的关系,高一物理，人教版必修一,1,匀变速直线运动的研究
相互作用,高一物理，人教版必修一,1,
重力　基本相互作用,高一物理，人教版必修一,1,相互作用
摩擦力,高一物理，人教版必修一,1,相互作用
弹力,高一物理，人教版必修一,1,相互作用
力的合成,高一物理，人教版必修一,1,相互作用
力的分解,高一物理，人教版必修一,1,相互作用
牛顿运动定律,高一物理，人教版必修一,1,
牛顿第一定律,高一物理，人教版必修一,1,牛顿运动定律
实验：探究加速度与力、质量的关系,高一物理，人教版必修一,1,牛顿运动定律
牛顿第二定律,高一物理，人教版必修一,1,牛顿运动定律
力学单位制,高一物理，人教版必修一,1,牛顿运动定律
牛顿第三定律,高一物理，人教版必修一,1,牛顿运动定律
用牛顿运动定律解决问题（一）,高一物理，人教版必修一,1,牛顿运动定律
用牛顿运动定律解决问题（二）,高一物理，人教版必修一,1,牛顿运动定律
曲线运动,高一物理，人教版必修二,1,
平抛运动,高一物理，人教版必修二,1,曲线运动
圆周运动,高一物理，人教版必修二,1,曲线运动
向心加速度,高一物理，人教版必修二,1,曲线运动
向心力,高一物理，人教版必修二,1,曲线运动
生活中的圆周运动,高一物理，人教版必修二,1,曲线运动
实验：研究平抛运动,高一物理，人教版必修二,1,曲线运动
